avgAnnCount,avgDeathsPerYear,TARGET_deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctOtherRace,PctMarriedHouseholds,BirthRate
49,22,206.5,462.1,37794,7410,21.9,43.3,37,59.6,1.86,33.3,34.2,58.2,53.6,5.7,17.6,4.8,68.2,35.8,29.6,56.2,18.9,66.03350481,27.31829574,2.770083102,49.84802432,1.652892562
27,14,179.9,340.7,30264,7903,38.9,38.4,36.1,46.2,2.16,34.6,30.5,56.1,54.8,4,19.5,10,43.4,34.7,32.5,44.5,31.7,58.10708899,41.65409754,1.983523004,47.61431412,5.070993915
1067,358,142.9,444.5,51907,118891,10.9,65.3,64.7,65.7,2.05,62.6,34.6,39.4,30.6,16.3,22.1,9,66.6,50,18.8,65.1,21.8,88.34112128,8.3418586,0.957594861,61.94550261,6.766413577
71,36,270.4,529.6,27484,12307,40.6,38.1,35.6,41.8,2.57,51.4,19.8,52,39.5,2.5,23.9,20.6,39.2,28.3,26.6,56.5,39.7,94.34724092,4.72646663,0.316681181,52.68518519,4.36746988
24,9,220.6,510.8,45933,11368,18.8,23.3,23,24.5,3.24,46.8,8.4,40,27,19.3,24,16.5,80.6,40,17.4,16.1,7.4,69.92613732,15.79654188,2.853785462,67.25663717,11.7201426
24,13,176.2,322.4,35424,5830,32.3,41.1,38.7,50.3,2.19,42.6,31.3,51.8,44.5,4.8,24,8.3,46.7,40,22.2,54,33.2,83.83375742,9.245122986,1.543681086,53.14984709,12.47920133
72,30,208.4,486.9,37748,11715,23.9,38.5,35.9,47.3,2.08,32,38.5,42.8,40.3,5.5,25,6.9,66.2,48,37.8,44.2,23.7,39.0340526,57.09710047,1.348617667,41.31470308,3.682946357
137,70,234.8,457.1,24707,19835,34.9,44.1,41.5,46.5,2.39,46,32.3,51.6,43.9,3.2,27,13.3,39.7,24.3,23.4,58.5,37.7,89.35679262,9.157773291,0.572060379,44.26650367,3.860072376
7,4,257.8,448.4,37096,1337,39.5,44.3,44.5,43.7,2.33,33.6,38.8,36.5,34.9,4.4,27,11.6,36.6,25.7,18.3,57.1,32.7,34.3144849,65.14329977,0.542215337,38.76146789,5.23255814
15,7,156.8,330.7,40837,4081,26.5,40.8,39.3,47,3.3,50.7,33,46.7,30.1,8.2,27.8,2.8,58.6,41,37.4,43.9,24.3,93.53891336,0.513950073,4.478707783,61.13161132,11.55660377
36,22,247.6,413.7,28524,7576,41.9,40.3,38.8,45,2.38,32.9,30.4,51,44.6,5.9,27.9,10.1,45.4,32.5,27,52.1,36.7,68.73943021,26.81149994,1.74320281,43.73804971,4.662698413
43,20,160.6,349.7,26309,8551,35.3,43.9,41.2,47.8,2.49,30.2,46.6,35.4,40.6,5.9,28.6,14.6,54.8,37.8,30.4,45.1,24.5,24.53552528,73.22373607,1.396239162,33.64120782,3.166561115
48,25,275.9,528.6,25473,6752,35,41.9,39.9,45.1,2.2,44.6,32.8,35.8,42.5,3.4,29,12.2,41.5,30.3,29.2,52.4,37.1,96.95181908,0.941143419,0.014046917,42.14760406,2.731512325
35,15,228.8,512.8,27635,5851,39.4,38,33.8,46.3,2.48,23.1,55.1,37.9,35.6,8.7,29.3,14.5,41.3,28.2,23.6,47.1,27.9,29.77164281,48.68779823,17.53578732,22.99248989,2.584269663
70,37,235,447.4,28456,14588,37.4,36,33.2,43.9,2.4,30.1,36.6,44.3,32.1,5.2,29.6,19,47.6,48,31.9,46.4,27.6,42.10842971,45.13002206,10.33491544,35.20291838,2.224694105
95,41,179.9,420.3,41079,19970,23.4,39.2,36.5,44.5,2.26,42.7,34.5,41.1,39,7.2,29.7,4.2,56.4,50,31.5,39.8,21,72.45970568,15.36690359,7.928721594,53.54345054,5.620219488
96,38,174,460,41759,16491,18.1,40.7,35.9,48.6,2.22,43,49,25.6,34.3,7.3,30.3,6.1,62.1,50,38.6,46,24.8,75.91359136,20.56405641,1.320132013,51.50548355,5.340223945
