YEAR,ADLT_MOR,ALCO,HEPT-B,BMI,POLIO,TOT_EXPD,DIPTR,HIV/AIDS,POPLN,THIN_1_19,THIN_5_9,ICOR,SCH,LIFE_EXP
2003,6,5.65,9,27.1,87,5.71,85,50.6,187392,8.2,8.4,0.493,9.1,45.9
2004,69,5.78,93,27.4,88,5.88,86,50.3,19553,7.7,7.9,0.492,9.4,45.6
2002,587,5.52,88,26.7,87,5.16,85,49.9,1893,8.6,8.8,0.502,9.2,46.4
2005,63,5.08,95,27.8,88,6.8,86,49.1,115873,7.3,7.5,0.495,9.7,46
2001,568,6.72,86,26.3,87,5.11,84,48.8,172927,9,9.2,0.506,9.3,47.1
2000,536,7.19,83,25.9,87,5.26,84,46.4,161468,9.4,9.6,0.516,9.4,48.4
2006,564,5.53,93,28.2,88,6.81,87,43.7,112514,6.9,7.1,0.502,9.9,47.8
2000,665,1.68,79,25.5,78,7.1,78,43.5,12222251,11,11.2,0.434,9.8,46
2001,686,1.72,76,25.9,76,6.16,75,42.1,12366165,1.6,1.7,0.427,9.8,45.3
2007,51,5.55,92,28.5,88,7.5,87,40.7,1138434,6.5,6.7,0.508,10.5,50
2008,477,4.87,9,28.9,89,8.19,88,40.2,1158897,6.1,6.3,0.514,10.6,51.4
2002,73,4.43,73,26.3,73,6.53,71,39.8,125525,1.2,1.3,0.427,10,44.8
2000,647,5.37,86,29.9,97,4.64,97,38.8,172834,12.3,12.2,0.559,11.7,47.8
2001,679,5.48,87,3.5,97,5.73,97,37.2,1754935,11.8,11.8,0.56,11.8,46.7
2003,715,4.06,7,26.7,7,6.52,68,36.7,12633897,9.8,9.9,0.418,9.5,44.5
2005,675,2.67,87,27.4,88,6.3,89,34.8,1949543,9.3,9.2,0.437,10.7,44.5
2002,699,6.41,88,31.1,97,6.47,97,34.6,1779953,11.4,11.3,0.558,11.9,46
2004,666,1.8,6,26.9,89,6.96,9,34.6,1933728,9.7,9.7,0.439,10.7,44.8
2006,654,2.61,91,27.9,88,7.12,89,34.1,1965662,8.8,8.7,0.437,10.7,45.3
2003,648,1.99,17,26.4,9,7.13,9,33.8,191897,1.2,1.1,0.44,10.5,45.5
2009,46,4.9,88,29.3,89,8.46,88,33.7,118675,5.8,5.9,0.519,10.8,52.6
2004,723,4.36,68,27.1,67,7.13,65,33.6,12777511,9.4,9.4,0.407,9.2,44.3
2003,693,5.51,9,31.6,96,4.65,96,31.9,184339,1.9,1.8,0.567,11.8,46.4
2005,717,4.14,65,27.5,69,6.44,68,30.3,129432,9,9,0.406,9.3,44.6
2007,633,2.69,9,28.3,87,8.47,88,30,1982287,8.4,8.3,0.44,10.6,46.2
2004,497,6.96,76,42.9,73,7.93,74,29.7,4717.99,12.6,15,0.611,12.9,53.7
2005,498,8.69,79,43.6,75,7.77,79,29.5,476667.24,11.6,13.9,0.609,12.9,53.8
2003,485,6.93,71,42.2,7,8.26,69,28.9,46418193.9,13.5,16.1,0.613,12.9,54
